id,name,type,categ_id,default_code,barcode,list_price,standard_price,weight,description,image,Extra Product Media/Name
11,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/EXDC062-08.jpg,Gallery Image 1
12,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/08/EXDC062.jpg,Gallery Image 2
13,Straight Lambda Fooler Adapter – Universal,GOODS,Exhaust,,,9.99,0,0.01,Fits between your lambda sensor and the exhaust to stop the EML coming on when fitting a decat to your vehicle Manufactured from high quality grade steel M18 X 1.5mm thread Direct bolt on design for ease of fitment Please note this will stop the light coming on but you may need to reset your ECU to turn the light off first,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01738-01-wpp1652865213351.jpg,Main Image
14,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01738-03.jpg,Gallery Image 1
15,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01738-04.jpg,Gallery Image 2
16,Catback Exhaust System – BMW Mini R53 Cooper S 1.6 00-06,GOODS,Exhaust,,,299.99,0,0.01,"Manufactured from highest quality T304 grade stainless steel 2.5"" dividing into 2 x 2"" bore with twin 2.75"" tailpipes CNC machined flange and slip joints for strong an accurate fit Free flowing system to get the most from the super charged engine Fully polished stainless steel with stylish polished tips",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/zz00398-01-wpp1652804092953.jpg,Main Image
17,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/zz00398-02.jpg,Gallery Image 1
18,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/zz00398-06.jpg,Gallery Image 2
19,Exhaust DPF Delete Downpipe – BMW 1 Series N47 E82 / E88 & E81 / E87 07-13,GOODS,Exhaust,,,194.99,0,0.01,"Manufactured from highest quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability Free flowing DPF replacement to get the most from the N47 engine Designed to improve power and torque across the entire RPM range Direct fit with OE exhaust   Gravity Performance decats are engineered to instantly increase power by allowing exhaust gases to exit the vehicle more efficiently. Designed as a direct replacement for the OEM catalytic converter and DPF, this downpipe ensures smooth installation while delivering a significant improvement in exhaust gas flow. By replacing the restrictive stock components with a free-flowing pipe, this Exhaust DPF Delete Downpipe enhances performance and unlocks the true potential of your BMW 1 Series. Please note: This is not suitable for M47 engine models Sold for off road and track use only We recommend replacing the original clamps & gaskets during install (not included)",https://www.gravityperformance.co.uk/wp-content/uploads/2025/07/EXDC057-01.jpg,Main Image
20,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-02-1.jpg,Gallery Image 1
21,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-03-1.jpg,Gallery Image 2
22,Exhaust DPF Delete Downpipe – BMW 3 Series N47 E90 / E91 / E92 / E93 04-13,GOODS,Exhaust,,,194.99,0,0.01,"Manufactured from highest quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability Free flowing DPF replacement to get the most from the N47 engine Designed to improve power and torque across the entire RPM range Direct fit with OE exhaust   Gravity Performance decats are engineered to instantly increase power by allowing exhaust gases to exit the vehicle more efficiently. Designed as a direct replacement for the OEM catalytic converter and DPF, this downpipe ensures smooth installation while delivering a significant improvement in exhaust gas flow. By replacing the restrictive stock components with a free-flowing pipe, this Exhaust DPF Delete Downpipe enhances performance and unlocks the true potential of your BMW 3 Series. Please note: This is not suitable for M47 engine models Sold for off road and track use only We recommend replacing the original clamps & gaskets during install (not included)",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-01-1.jpg,Main Image
23,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-02-1.jpg,Gallery Image 1
24,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC057-03-1.jpg,Gallery Image 2
25,3″ Exhaust Decat Downpipe – Volkswagen Golf MK5 GTI 2.0 04-09,GOODS,Exhaust,,,139.99,0,0.01,"Gravity Performance decats are made to completely replace the stock catalytic converter eliminating all restrictions. Our Performance decats improve throttle response and allow for improved exhaust flow increasing power and torque. Manufactured from high quality T304 grade stainless steel Free flowing catalyst replacement to get the most from the 2.0 TFSI 2 piece v-band clamp fitting for a better seal compared to flange & gasket as well as an easier installation Built in flexi joint helps reduce exhaust strain     3"" Exhaust Decat Downpipe compatible with VW Golf MK5 GTI 2.0T 2004-2010 models, an easier fitting replacement for the OEM downpipe and offers significant performance gains. The built-in flexi on our 3"" Exhaust Decat Downpipe ensures you get performance gains coupled with durability and reliability.",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00205A-02.jpg,Main Image
26,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00205A1-1.jpg,Gallery Image 1
27,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00205A3-1.jpg,Gallery Image 2
28,40mm High Flow Radiator – Toyota MR2 SW20 2.0 90-95,GOODS,Cooling,,,169.99,0,0.01,"Twin aluminium core will achieve up to 30% greater cooling capability than OEM Black coating designed to optimise heat dissipation, resulting in consistent lower temps Great upgrade to ensure the cooling system is operating at it's best at all time More water volume within a channel means greater cooling efficiency Designed to be a direct replacement for ease of fitment",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01316A-BK-01-wpp1652859828800.jpg,Main Image
29,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01316A-BK-02.jpg,Gallery Image 1
30,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ01316A-BK-03.jpg,Gallery Image 2
31,Exhaust Decat Manifold – Renault Clio MK3 Sport 197 / 200 2.0 16V 06-11,GOODS,Exhaust,,,239.99,0,0.01,Manufactured from highest quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability Free flowing catalyst replacement to get the most from the F4R engine Noticeably improves throttle response Built in flexi joint helps reduce exhaust strain,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/zz03507-wpp1652804842739.jpg,Main Image
32,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03507-02.jpg,Gallery Image 1
33,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03507-03.jpg,Gallery Image 2
34,12″ Universal Straight Blade Fan Kit,GOODS,Cooling,,,29.99,0,0.01,"Air Flow Rate: >1130 CBM/Hr - Giving great cooling capability. Speed: 2100 RPM - Compact but fast. 12VDC, 7 Amps, 80W, 2150 CFM - Powerful motor. Most fans are designed for one-way air flow, the unique fan blade design and reversible motor allows you to pull or push the air with equal velocity. The lightweight ABS plastic slim fans measure only 2.5""at the deepest point; perfect for cramped areas.",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00088C-01-wpp1652862546968.jpg,Main Image
35,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00088C-04.jpg,Gallery Image 1
36,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00088C-05.jpg,Gallery Image 2
37,Catback Exhaust System For Lexus IS200 2.0 – 1998-2005,GOODS,Exhaust,,,389.99,0,0.01,"2.25"" Bore Throughout With a 4.25"" Tailpipe A free flowing exhaust is a great way to get the best out of the 6 Cylinder engine Removable baffle in the tailpipe for adjustable volume. Manufactured from Mandrel bent T304 grade stainless steel Engineered to improve throttle response and increased power and torque across the entire RPM range",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00405-0-wpp1652804852526.jpg,Main Image
38,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00405-01.jpg,Gallery Image 1
39,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00405-04-v2.jpg,Gallery Image 2
40,Cold Air Induction Kit – Honda Civic EP2 1.6 00-05,GOODS,Air induction,,,99.99,0,0.01,High quality big bore cone type to provide up to 50% more surface area compared to the OEM airbox Engineered to help your engine breathe easier and improve power Easy installation and easy maintenance Improved intake sound,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02421-BK-01-wpp1652800795223.jpg,Main Image
41,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02421-BK-03.jpg,Gallery Image 1
42,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02421-BK-04.jpg,Gallery Image 2
43,Gravity Performance Outline Logo Decal – 12″ White On Black + Blue Triangle,GOODS,Merchandise,,,9.99,0,0.01,UK manufactured from the highest quality vinyl Perfectly crafted to fit each and every vehicle Represent the Gravity Performance team! Don't forget to tag us,https://www.gravityperformance.co.uk/wp-content/uploads/2022/05/GVSTICKER1.jpg,Main Image
44,3″ Exhaust Decat Downpipe – Ford Fiesta MK7 ST180 1.6 Ecoboost 13+,GOODS,Exhaust,,,144.99,0,0.01,"Manufactured from highest quality T304 grade stainless steel Free flowing catalyst replacement to get the most from the 1.6L Ecoboost engine 3"" Bore throughout, perfect for aftermarket 3"" exhaust systems Noticeably improves throttle response     Our 3"" Exhaust Decat Downpipe compatible with Ford Fiesta MK7 ST180 1.6 Ecoboost 13+ is made from high quality Stainless Steel and features a 3"" bore to maximise gas flow through the exhaust. This 3"" Exhaust Decat Downpipe has a larger bore than the OEM part, meaning you can pair this with an aftermarket exhaust system to release even more power from the 1.6 Ecoboost engine.",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/GPEC012A-01.jpg,Main Image
45,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/GPEC012A-02.jpg,Gallery Image 1
46,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/GPEC012A-03.jpg,Gallery Image 2
47,4.5″ Exhaust Decat Downpipe – BMW 1 Series F20 M140i B58 16-19,GOODS,Exhaust,,,214.99,0,0.01,"Manufactured from highest quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability Free flowing catalyst replacement to get the most from the B58 engine Designed to improve power and torque across the entire RPM range     Our 4.5"" Exhaust Decat Downpipe compatible with BMW 1 Series F20 M140i B58 16-19, manufactured from T304 Stainless Steel for maximum durability and strength, produces instant power gains across the rev range. this 4.5"" Exhaust Decat Downpipe improves gas flow, thus improving throttle response and torque as a result.",https://www.gravityperformance.co.uk/wp-content/uploads/2024/08/GPED046A-01.jpg,Main Image
48,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2024/08/GPED046A-02.jpg,Gallery Image 1
49,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2024/08/GPED046A-03.jpg,Gallery Image 2
50,3″ Catback Exhaust System – Ford Focus MK3 ST ST250 12-18,GOODS,Exhaust,,,394.99,0,0.01,"3"" Bore Throughout With a Twin 4.5"" Tailpipes 4.5"" Tailpipes designed to fit the oem rear valance Manufactured from Mandrel bent T304 grade stainless steel Engineered to improve throttle response and increased power and torque across the entire RPM range A free flowing exhaust is a great way to get the best out of the 4 cylinder Turbo engine",https://www.gravityperformance.co.uk/wp-content/uploads/2022/07/ZZ03960-01-1.jpg,Main Image
51,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/07/ZZ03960-02-1.jpg,Gallery Image 1
52,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/07/ZZ03960-03-1.jpg,Gallery Image 2
53,Exhaust Back Box Delete Pipe – Ford Fiesta MK7 MK7.5 1.0 Ecoboost 13-17,GOODS,Exhaust,,,119.99,0,0.01,"Manufactured from highest quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability Fully polished 3"" tailpipes designed to fit beneath the OEM rear valance Designed to fit the original exhaust system and standard trim models High flow design removes the OEM resonator back box",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXMD014-02-1.jpg,Main Image
54,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXMD014-03.jpg,Gallery Image 1
55,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXMD014-04.jpg,Gallery Image 2
56,Exhaust Back Box – BMW 3 Series E46 320 / 325 / 330 M54 6 Cylinder Models 98-06,GOODS,Exhaust,,,214.99,0,0.01,"Manufactured from high quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability Mirror polished finish all the way through, not just the tailpipes 3"" Polished tailpipes designed to fit the OEM rear valance Fantastic high quality stainless steel exhaust that we guarantee you will not be disappointed with",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00239A-01.jpg,Main Image
57,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00239A-02.jpg,Gallery Image 1
58,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00239A-03.jpg,Gallery Image 2
59,2.5″ Exhaust Decat Downpipe – Lexus IS200 2.0 98-05,GOODS,Exhaust,,,154.99,0,0.01,"Manufactured from high quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability Free flowing catalyst replacement to get the most from the 2.0L 6 cylinder Designed to significantly improve power and torque across the entire RPM range     2.5"" Exhaust Decat Downpipe compatible with Lexus IS200 2.0 98-05 offers a high quality replacement for the OEM downpipe. This less restrictive 2.5"" Exhaust Decat Downpipe helps release extra power from your engine by improving gas flow through the exhaust system.",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03839-01-wpp1652804702583.jpg,Main Image
60,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03839-02.jpg,Gallery Image 1
61,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03839-03.jpg,Gallery Image 2
62,2″ Exhaust Cross Over Pipe – Land Rover Discovery 3 2.7 TDV6 04-09,GOODS,Exhaust,,,144.99,0,0.01,"Manufactured from highest quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability Ideal replacement for the OEM crossover pipe which is known to deteriorate Both gaskets included for a complete bolt on kit     2"" Exhaust Cross Over Pipe compatible with Land Rover Discovery 3 2.7 TDV6 2004-2009 models, TIG welded to provide a long lasting replacement for the stock part.",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/GPCP002-02.jpg,Main Image
63,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/GPCP002-03.jpg,Gallery Image 1
64,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/GPCP002-04.jpg,Gallery Image 2
65,1.5″ Exhaust Crossover Pipe – Land Rover Discovery 4 L319 3.0 SDV6 TDV6 09-16,GOODS,Exhaust,,,194.99,0,0.01,"Manufactured from highest quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability CNC machined flanges for strong, solid support and an accurate fit Built in flexi joints help reduce exhaust strain Replaces fragile OEM pipe that is prone to breaking",https://www.gravityperformance.co.uk/wp-content/uploads/2022/03/GPCP001-01.5-wpp1652859859740.jpg,Main Image
66,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/03/GPCP001-02.jpg,Gallery Image 1
67,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/03/GPCP001-03.jpg,Gallery Image 2
68,Stainless Rear Back Box – Porsche Boxster S 986 2.5 / 2.7 / 3.2 96-04,GOODS,Exhaust,,,244.99,0,0.01,"2"" Bore Throughout with Twin 3"" Tailpipes A free flowing exhaust is a great way to get the most out of the Boxster engine Manufactured from Mandrel bent T304 grade stainless steel Engineered to improve throttle response across the entire RPM range Fully polished to complement the appreciating Classic",https://www.gravityperformance.co.uk/wp-content/uploads/2022/03/ZZ01827-01-1.jpg,Main Image
69,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/03/ZZ01827-01-2.jpg,Gallery Image 1
70,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/03/ZZ01827-04-1.jpg,Gallery Image 2
71,Exhaust Decat DPF Delete Pipe – Audi A3 8P 2.0 TDI 03-13,GOODS,Exhaust,,,244.99,0,0.01,"Manufactured from high quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability Free flowing DPF replacement to get the most from the CR170 engine Designed to improve power and torque across the entire RPM range     Exhaust Decat DPF Delete Pipe compatible with Audi A3 2.0 TDI 3dr Hatch 2003-2013 170BHP models is an ideal replacement for your OEM cat and DPF, as it offers significant performance gains due to its less restrictive design.",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/GPEC008-04.jpg,Main Image
72,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/GPEC008-01-2.jpg,Gallery Image 1
73,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2024/02/image.jpg,Gallery Image 2
74,3″ Exhaust Decat Downpipe – Volkswagen Polo GTI MK5 6R 1.8 TFSI 15-17,GOODS,Exhaust,,,259.99,0,0.01,"Manufactured from high quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability 3"" bore throughout for optimum exhaust gasflow Designed to improve power and torque across the entire RPM range",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC081-01-wpp1652804295847.jpg,Main Image
75,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC081-02.jpg,Gallery Image 1
76,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC081-03.jpg,Gallery Image 2
77,Exhaust Back Box – Mazda MX5 MK3 NC 1.8 2.0 06-15,GOODS,Exhaust,,,274.99,0,0.01,"Manufactured from highest quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability 2.5"" Polished tailpipes designed to fit the OEM rear valance Designed to improve power and torque across the entire RPM range Noticeably improves throttle response",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02113UK-01.jpg,Main Image
78,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02113UK-04.jpg,Gallery Image 1
79,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02113UK-05.jpg,Gallery Image 2
80,2.5″ Exhaust Decat Pipe – Peugeot 206 2.0 16V GTI 180 03-10,GOODS,Exhaust,,,109.99,0,0.01,Manufactured from high quality T304 grade stainless steel Free flowing catalyst replacement to get the most from the 180bhp 2.0L Noticeably improves throttle response Built in flexi joint helps reduce strain on your exhaust,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03884-01.jpg,Main Image
81,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03884-02.jpg,Gallery Image 1
82,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03884-03.jpg,Gallery Image 2
83,Exhaust Decat Downpipe – Volkswagen Golf MK5 2.0 TDI 2004-2009,GOODS,Exhaust,,,114.99,0,0.01,"Gravity Performance decats are made to completely replace the stock catalytic converter eliminating all restrictions. Our Performance decats improve throttle response and allow for improved exhaust flow increasing power and torque. Manufactured from highest quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability Free flowing catalyst replacement to get the most from the 2.0 TDI Designed to improve power and torque across the entire RPM range     Stainless Steel, 2.25"" Decat Downpipe compatible with Volkswagen Golf MK5 2.0 TDI 04-09 models, This Solid, precision made Decat Downpipe exhaust will increase air and gas flow in your exhaust system, helping to improve general performance.",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/zz03324-01.jpg,Main Image
84,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/zz03324-02.jpg,Gallery Image 1
85,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/zz03324-03.jpg,Gallery Image 2
86,1.5″ Exhaust Crossover Pipe – Range Rover L405 3.0 TDV6 SDV6 12-22,GOODS,Exhaust,,,194.99,0,0.01,"Manufactured from highest quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability CNC machined flanges for strong, solid support and an accurate fit Built in flexi joints help reduce exhaust strain Replaces fragile OEM pipe that is prone to breaking",https://www.gravityperformance.co.uk/wp-content/uploads/2024/10/GPCP001-03.jpg,Main Image
87,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/03/GPCP001-02.jpg,Gallery Image 1
88,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2024/10/GPCP001-01.jpg,Gallery Image 2
89,Exhaust Manifold – Mazda MX5 MK2.5 NB 1.8 01-05,GOODS,Exhaust,,,194.99,0,0.01,"Manufactured from high quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability CNC machined flanges for strong, solid support and an accurate fit Designed to maximise the exhaust gasflow and allows the 1.8L engine to breathe easier One of the most cost effective ways of releasing power from your car",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXEM026M-01.1-wpp1652803624168.jpg,Main Image
90,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXEM026M-02.jpg,Gallery Image 1
91,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXEM026M-03.jpg,Gallery Image 2
92,3″ Exhaust Decat Downpipe – Volkswagen MK7 Golf R / Audi S3 Quattro 2.0 TSI 13+ / Audi SQ2 19+,GOODS,Exhaust,,,234.99,0,0.01,"Manufactured from highest quality T304 grade stainless steel Free flowing catalyst replacement to get the most from the 2.0L TSI engine 3"" bore narrowing to 2.5"" at the outlet to fit the OEM exhaust system Built in flexi joint helps reduce exhaust strain",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC055-01.5.jpg,Main Image
93,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC055-02.jpg,Gallery Image 1
94,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXDC055-03.jpg,Gallery Image 2
95,Catback Exhaust System – VW Polo 6R 1.2 09-17,GOODS,Exhaust,,,319.99,0,0.01,"Designed to directly replace the original system from the catalytic converter backwards 2.5"" throughout with dual 3"" tail pipes Manufactured from mandrel bent T304 grade stainless steel Great way to get more power and sound out of the Polo Free flowing system improves throttle response",https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03760-01.jpg,Main Image
96,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03760-03.jpg,Gallery Image 1
97,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03760-04.jpg,Gallery Image 2
98,Catback Exhaust System – VW Polo MK5 GTI 1.8 TFSI 15-17,GOODS,Exhaust,,,329.99,0,0.01,"Designed to directly replace the original system from the catalytic converter backwards 2.5"" throughout with dual 3 inch tail pipes Manufactured from mandrel bent T304 grade stainless steel Great way to get more power and sound out of the 1.8 TFSI Adaptors supplied to work with stock system and our 3"" downpipe",https://www.gravityperformance.co.uk/wp-content/uploads/2022/05/EXES154-01.2.jpg,Main Image
99,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/05/EXES154-03.jpg,Gallery Image 1
100,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/05/EXES154-02.2.jpg,Gallery Image 2
101,2.5″ Exhaust Resonator Delete – Volkswagen Golf R MK7 / MK7.5 2.0 TSI 13+,GOODS,Exhaust,,,109.99,0,0.01,"Manufactured from highest quality T304 grade stainless steel. Mandrel bent and fully TIG welded for strength and durability. Designed to improve power and torque across the entire RPM range. Noticeably improves throttle response from your 2.0TSI engine High flow design removes the OEM centre resonator box.     2.5"" Exhaust Resonator Delete compatible with Volkswagen Golf R MK7 / MK7.5 2.0 TSI 13+, designed to replace the restrictive resonator with a straight through pipe. Our 2.5"" Exhaust Resonator Delete produces a sportier tone than the standard resonator, and allows gas to flow more freely, improving throttle response.",https://www.gravityperformance.co.uk/wp-content/uploads/2022/03/EXMD027-04.jpg,Main Image
102,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/03/EXMD027-02.jpg,Gallery Image 1
103,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/03/EXMD027-03.jpg,Gallery Image 2
104,Exhaust Decat Downpipe – Volkswagen Golf MK7 / Audi A3 8V 1.4 TSI 13-17,GOODS,Exhaust,,,164.99,0,0.01,Fully polished T304 grade stainless steel Designed to improve power and torque across the entire RPM range Built in flexi joint to help reduce strain on your exhaust Free flowing to get the most from the 1.4L TSI engines,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/zz03930-01.5.jpg,Main Image
105,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/zz03930-06.jpg,Gallery Image 1
106,,,,,,,,,,https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/zz03930-02.jpg,Gallery Image 2
