id,title,category,price,description,images,url
11,Exhaust Decat Manifold – Renault Clio MK3 Sport 197 / 200 2.0 16V 06-11,Exhaust,239.99,Manufactured from highest quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability Free flowing catalyst replacement to get the most from the F4R engine Noticeably improves throttle response Built in flexi joint helps reduce exhaust strain,"https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/zz03507-wpp1652804842739.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03507-02.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03507-03.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03507-04.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03507-05.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03507-06.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03507-07.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03507-08.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03507-09.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ03507-010.jpg",https://www.gravityperformance.co.uk/decats/decat-exhaust-manifold-renault-clio-mk3-sport-197-200-2-0-16v-06-11/
12,12″ Universal Straight Blade Fan Kit,Cooling,29.99,"Air Flow Rate: >1130 CBM/Hr - Giving great cooling capability. Speed: 2100 RPM - Compact but fast. 12VDC, 7 Amps, 80W, 2150 CFM - Powerful motor. Most fans are designed for one-way air flow, the unique fan blade design and reversible motor allows you to pull or push the air with equal velocity. The lightweight ABS plastic slim fans measure only 2.5""at the deepest point; perfect for cramped areas.","https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00088C-01-wpp1652862546968.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00088C-04.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00088C-05.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00088C-06.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00088C-07.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00088C-08.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00088C-09.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00088C-03.jpg",https://www.gravityperformance.co.uk/fans/12-universal-straight-blade-fan-kit/
13,Catback Exhaust System For Lexus IS200 2.0 – 1998-2005,Exhaust,389.99,"2.25"" Bore Throughout With a 4.25"" Tailpipe A free flowing exhaust is a great way to get the best out of the 6 Cylinder engine Removable baffle in the tailpipe for adjustable volume. Manufactured from Mandrel bent T304 grade stainless steel Engineered to improve throttle response and increased power and torque across the entire RPM range","https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00405-0-wpp1652804852526.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00405-01.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00405-04-v2.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00405-05.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00405-06.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00405-03-v2.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00405-07-v2.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00405-08.jpg",https://www.gravityperformance.co.uk/exhaust-systems/catback-exhaust-system-lexus-is200-2-0-98-05/
14,Cold Air Induction Kit – Honda Civic EP2 1.6 00-05,Air induction,99.99,High quality big bore cone type to provide up to 50% more surface area compared to the OEM airbox Engineered to help your engine breathe easier and improve power Easy installation and easy maintenance Improved intake sound,"https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02421-BK-01-wpp1652800795223.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02421-BK-03.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02421-BK-04.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02421-BK-05.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02421-BK-06.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02421-BK-07.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02421-BK-08-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02421-BK-08.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ02421-BK-09.jpg",https://www.gravityperformance.co.uk/air-induction-kits/cold-air-induction-kit-honda-civic-ep2-1-6-00-05/
15,Gravity Performance Outline Logo Decal – 12″ White On Black + Blue Triangle,Merchandise,9.99,UK manufactured from the highest quality vinyl Perfectly crafted to fit each and every vehicle Represent the Gravity Performance team! Don't forget to tag us,https://www.gravityperformance.co.uk/wp-content/uploads/2022/05/GVSTICKER1.jpg,https://www.gravityperformance.co.uk/merchandise/gravity-performance-outline-logo-decal-12-white-on-black-blue-triangle/
16,3″ Exhaust Decat Downpipe – Ford Fiesta MK7 ST180 1.6 Ecoboost 13+,Exhaust,144.99,"Manufactured from highest quality T304 grade stainless steel Free flowing catalyst replacement to get the most from the 1.6L Ecoboost engine 3"" Bore throughout, perfect for aftermarket 3"" exhaust systems Noticeably improves throttle response     Our 3"" Exhaust Decat Downpipe compatible with Ford Fiesta MK7 ST180 1.6 Ecoboost 13+ is made from high quality Stainless Steel and features a 3"" bore to maximise gas flow through the exhaust. This 3"" Exhaust Decat Downpipe has a larger bore than the OEM part, meaning you can pair this with an aftermarket exhaust system to release even more power from the 1.6 Ecoboost engine.","https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/GPEC012A-01.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/GPEC012A-02.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/GPEC012A-03.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/GPEC012A-05.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/GPEC012A-07.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/GPEC012A-06.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/GPEC012A-04.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/GPEC012A-08.jpg",https://www.gravityperformance.co.uk/decats/3-exhaust-decat-downpipe-ford-fiesta-mk7-st180-1-6-ecoboost-13/
17,4.5″ Exhaust Decat Downpipe – BMW 1 Series F20 M140i B58 16-19,Exhaust,214.99,"Manufactured from highest quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability Free flowing catalyst replacement to get the most from the B58 engine Designed to improve power and torque across the entire RPM range     Our 4.5"" Exhaust Decat Downpipe compatible with BMW 1 Series F20 M140i B58 16-19, manufactured from T304 Stainless Steel for maximum durability and strength, produces instant power gains across the rev range. this 4.5"" Exhaust Decat Downpipe improves gas flow, thus improving throttle response and torque as a result.","https://www.gravityperformance.co.uk/wp-content/uploads/2024/08/GPED046A-01.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2024/08/GPED046A-02.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2024/08/GPED046A-03.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2024/08/GPED046A-04.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2024/08/GPED046A-05.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2024/08/GPED046A-06.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2024/08/GPED046A-07-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2024/08/GPED046A-08-1.jpg",https://www.gravityperformance.co.uk/decats/4-5-exhaust-decat-downpipe-bmw-1-series-f20-m140i-b58-16-19/
18,3″ Catback Exhaust System – Ford Focus MK3 ST ST250 12-18,Exhaust,394.99,"3"" Bore Throughout With a Twin 4.5"" Tailpipes 4.5"" Tailpipes designed to fit the oem rear valance Manufactured from Mandrel bent T304 grade stainless steel Engineered to improve throttle response and increased power and torque across the entire RPM range A free flowing exhaust is a great way to get the best out of the 4 cylinder Turbo engine","https://www.gravityperformance.co.uk/wp-content/uploads/2022/07/ZZ03960-01-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/07/ZZ03960-02-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/07/ZZ03960-03-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/07/ZZ03960-05-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/07/ZZ03960-07-scaled.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/07/ZZ03960-06-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/07/ZZ03960-07-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/07/ZZ03960-08-1.jpg",https://www.gravityperformance.co.uk/exhaust/3-catback-exhaust-system-ford-focus-mk3-st-st250-12-18/
19,Exhaust Back Box Delete Pipe – Ford Fiesta MK7 MK7.5 1.0 Ecoboost 13-17,Exhaust,119.99,"Manufactured from highest quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability Fully polished 3"" tailpipes designed to fit beneath the OEM rear valance Designed to fit the original exhaust system and standard trim models High flow design removes the OEM resonator back box","https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXMD014-02-1.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXMD014-03.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXMD014-04.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXMD014-05.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXMD014-06.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXMD014-07.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/EXMD014-08.jpg",https://www.gravityperformance.co.uk/exhaust-systems/exhaust-back-box-delete-pipe-ford-fiesta-mk7-1-0-ecoboost-zetec-s-13-17/
20,Exhaust Back Box – BMW 3 Series E46 320 / 325 / 330 M54 6 Cylinder Models 98-06,Exhaust,214.99,"Manufactured from high quality T304 grade stainless steel Mandrel bent and fully TIG welded for strength and durability Mirror polished finish all the way through, not just the tailpipes 3"" Polished tailpipes designed to fit the OEM rear valance Fantastic high quality stainless steel exhaust that we guarantee you will not be disappointed with","https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00239A-01.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00239A-02.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00239A-03.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00239A-04.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00239A-05.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00239A-06.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00239A-07.jpg, https://www.gravityperformance.co.uk/wp-content/uploads/2022/02/ZZ00239A-08.jpg",https://www.gravityperformance.co.uk/back-boxes/exhaust-back-box-bmw-3-series-e46-320-325-330-m54-6-cylinder-models-98-06/
