id,name,type,categ_id,default_code,barcode,list_price,standard_price,weight,description,image_1920,image,Extra Product Media/Name
17,Mini Cooper S R53 – Lowering Springs – Front 40mm – Rear 40mm,GOODS,Lowering Springs,,,169.99,0,0.01,MINI COOPER S - R53 - 03/2002 to 09/2006,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
18,Volvo V40 T2 | T3 | T4 | D2 M – Lowering Springs – Front 25mm – Rear 35mm,GOODS,Lowering Springs,,,179.99,0,0.01,VOLVO V40 T2/T3/T4/D2 - M - 07/2012+,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
19,Audi A3 1.4 TFSI | 1.8 TFSI | 2.0 FSI | 1.6 TDI | 1.9 TDI + Sportback 8P – 45mm Lowering Springs,GOODS,Lowering Springs,,,179.99,0,0.01,Audi A3 1.4TFSI/1.8TFSI/2.0FSI/1.6TDI/1.9TDI + SPORTBACK - 8P - 2003 to 09/2012,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
20,BMW 5 Series Touring 520I | 523I | 525I | 530I E61 – Lowering Springs – Front 30mm,GOODS,Lowering Springs,,,139.99,0,0.01,BMW 5 TOURING 520i/523i/525i/530i - E61 - 06/2004 to 05/2010,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
21,BMW 3 Touring 316I | 318I | 320I E91 – Lowering Springs – Front 30mm – Rear 20mm,GOODS,Lowering Springs,,,179.99,0,0.01,BMW 3 TOURING 316i/318i/320i - E90/E91 - 09/2005 to 10/2012,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
22,Mercedes 190E-2.5 16V | 190D-2.5 Turbo W201 – Lowering Springs – Front 40mm – Rear 40mm,GOODS,Lowering Springs,,,229.99,0,0.01,190E-2.5 16V/190D-2.5 TURBO - W201 - 12/1982 to 05/1993,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
23,Seat Ibiza 1.0 65PK/75PK/1.0MPI 80PK Hatchback Kj 2017+ – Lowering Springs – Front: 30 / Rear: 30,GOODS,Lowering Springs,,,119.99,0,0.01,SEAT IBIZA 1.0 65PK/75PK/1.0MPi 80PK HATCHBACK Kj 01/2017-,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
24,Vauxhall Astra 3+5Dr. (Ids) + GTC 2.0T | 1.7CDTI | 1.9CDTI H – Lowering Springs – Front 30mm – Rear 30mm,GOODS,Lowering Springs,,,179.99,0,0.01,OPEL/ VAUXHALL ASTRA 3+5DR. (IDS) + GTC 2.0T/1.7CDTi/1.9CDTi - H - 2004 to 10/2009,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
25,VW Golf IV 1.8 | 2.0 | 1.9SDi | 1.9TDI 90 | 100 | 110 | 130 No Aut. 1J – Lowering Springs – Front 30mm – Rear 30mm,GOODS,Lowering Springs,,,199.99,0,0.01,VW GOLF IV 1.8/2.0/1.9SDi/1.9TDI 90/100/110/130 no aut. - 1j - 10/1997 to 11/2003,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
26,Mazda MX5 ND 1.5 2.0 2015+ 30mm Lowering Springs,GOODS,Lowering Springs,,,129.99,0,0.01,Mazda MX5 ND (MK4) 1.5 & 2.0 2015+ models,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,https://www.gravityperformance.co.uk/wp-content/uploads/2022/10/Grav_Spring.jpg,Main Image
